,TIME_CONTRAL_A,TIME_CONTRAL_B,STEPS,TERMINATION,GAME_LENGTH,GAME_TYPE
541,180.0,2.0,11,1,12.0,2
542,300.0,3.0,34,1,52.0,2
543,300.0,0.0,40,0,295.0,2
544,600.0,0.0,28,1,342.0,1
545,300.0,0.0,27,1,103.0,2
546,60.0,0.0,23,1,39.0,3
547,180.0,0.0,22,1,72.0,2
548,300.0,0.0,15,1,79.0,2
549,120.0,1.0,23,1,28.0,3
550,60.0,0.0,18,1,28.0,3
551,60.0,0.0,30,1,52.0,3
552,60.0,0.0,25,0,38.0,3
553,300.0,0.0,29,1,212.0,2
554,900.0,15.0,31,1,407.0,1
555,900.0,15.0,29,1,422.0,1
556,900.0,0.0,28,1,447.0,1
557,180.0,2.0,70,1,155.0,2
558,600.0,0.0,24,1,162.0,1
559,600.0,0.0,26,1,569.0,1
560,600.0,0.0,47,1,463.0,1
561,600.0,0.0,28,1,170.0,1
562,480.0,2.0,43,1,307.0,1
563,60.0,0.0,36,1,41.0,3
564,600.0,0.0,31,1,338.0,1
565,120.0,3.0,17,1,3.0,2
566,120.0,1.0,24,1,91.0,3
567,300.0,0.0,50,1,219.0,2
568,60.0,0.0,43,0,59.0,3
569,300.0,3.0,27,0,293.0,2
570,120.0,0.0,33,1,91.0,3
571,300.0,0.0,21,1,34.0,2
572,900.0,0.0,34,1,853.0,1
573,600.0,0.0,31,1,226.0,1
574,180.0,0.0,29,0,77.0,2
575,600.0,0.0,59,1,518.0,1
576,300.0,4.0,35,1,139.0,2
577,900.0,15.0,20,1,767.0,1
578,60.0,0.0,28,1,29.0,3
579,336.81176168464305,1.6013525081321691,32,1,0.0,1
580,300.0,0.0,28,1,195.0,2
581,300.0,5.0,20,1,139.0,1
582,600.0,0.0,33,1,382.0,1
583,180.0,0.0,16,1,164.0,2
584,60.0,0.0,36,0,57.0,3
585,60.0,0.0,24,0,58.0,3
586,900.0,16.0,35,1,78.0,1
587,600.0,0.0,22,0,266.0,1
588,120.0,0.0,34,1,119.0,3
589,300.0,0.0,49,0,295.0,2
590,600.0,0.0,29,0,334.0,1
591,180.0,0.0,23,1,71.0,2
592,180.0,0.0,30,1,120.0,2
593,120.0,1.0,32,1,64.0,3
594,60.0,0.0,26,1,46.0,3
595,60.0,0.0,21,1,27.0,3
596,30.0,0.0,30,0,26.0,3
597,120.0,3.0,49,1,101.0,2
598,600.0,0.0,23,1,150.0,1
599,60.0,0.0,24,1,41.0,3
600,180.0,2.0,14,1,66.0,2
601,30.0,0.0,25,0,30.0,3
602,60.0,0.0,17,1,17.0,3
603,300.0,3.0,29,0,197.0,2
604,300.0,8.0,42,1,285.0,1
605,900.0,0.0,57,1,547.0,1
606,300.0,5.0,27,1,207.0,1
607,180.0,0.0,33,1,164.0,2
608,60.0,0.0,21,0,37.0,3
609,600.0,0.0,32,1,496.0,1
610,300.0,3.0,40,0,274.0,2
611,300.0,0.0,50,1,288.0,2
612,300.0,0.0,40,1,293.0,2
613,300.0,3.0,51,0,271.0,2
614,300.0,3.0,20,1,140.0,2
615,60.0,0.0,23,1,44.0,3
616,300.0,0.0,17,0,170.0,2
617,540.0,5.0,36,1,132.0,1
618,180.0,0.0,25,0,25.0,2
619,180.0,2.0,20,1,121.0,2
620,300.0,3.0,31,1,290.0,2
621,600.0,0.0,27,1,300.0,1
622,120.0,3.0,22,1,18.0,2
623,600.0,0.0,16,1,130.0,1
624,30.0,0.0,30,0,29.0,3
625,300.0,0.0,19,1,193.0,2
626,900.0,0.0,31,1,399.0,1
627,180.0,0.0,40,1,127.0,2
628,600.0,0.0,74,1,591.0,1
629,300.0,0.0,26,0,150.0,2
630,60.0,0.0,34,0,59.0,3
631,60.0,0.0,17,1,37.0,3
632,300.0,0.0,44,1,216.0,2
633,600.0,0.0,23,1,230.0,1
634,600.0,0.0,32,1,225.0,1
635,300.0,0.0,42,1,178.0,2
636,60.0,0.0,22,1,18.0,3
637,120.0,1.0,43,0,119.0,3
638,180.0,0.0,36,1,122.0,2
639,300.0,3.0,22,0,197.0,2
640,600.0,0.0,27,1,385.0,1
641,900.0,0.0,34,1,627.0,1
642,60.0,0.0,26,1,23.0,3
643,720.0,4.0,51,1,650.0,1
644,480.0,16.0,45,1,29.0,1
645,600.0,9.0,25,1,304.0,1
646,30.0,0.0,27,0,30.0,3
